web_scraper_order,web_scraper_start_url,data,title,data2,title2,data3,data5,name,data7,data8,data11,data14,image,image2,image3,image4,image6
393796-4289,https://www.housingcom.com/search/mumbai,₹ 1.63 Cr,1 BHK Apartment in Powai,609 sqft,Apartment,1 BHK,Ready to Move,"Powai, Mumbai",A beautiful 1 BHK property in Powai with modern amenities.,9 of 26,2,Semi-Furnished,https://images.property.com/img_579.jpg,https://images.property.com/img_619.jpg,https://images.property.com/img_771.jpg,https://images.property.com/img_136.jpg,https://images.property.com/img_410.jpg
975606-8709,https://www.magicbricks.com/search/bengaluru,₹ 1.01 Cr,2 BHK Apartment in HSR Layout,1220 sqft,Apartment,2 BHK,Ready to Move,"HSR Layout, Bengaluru",A beautiful 2 BHK property in HSR Layout with modern amenities.,3 of 21,2,Unfurnished,https://images.property.com/img_10.jpg,https://images.property.com/img_198.jpg,https://images.property.com/img_40.jpg,https://images.property.com/img_756.jpg,https://images.property.com/img_594.jpg
366992-5116,https://www.magicbricks.com/search/bengaluru,₹ 40.13 L,1 BHK Apartment in HSR Layout,476 sqft,Apartment,1 BHK,Ready to Move,"HSR Layout, Bengaluru",A beautiful 1 BHK property in HSR Layout with modern amenities.,13 of 15,2,Fully Furnished,https://images.property.com/img_266.jpg,https://images.property.com/img_323.jpg,https://images.property.com/img_884.jpg,https://images.property.com/img_241.jpg,https://images.property.com/img_162.jpg
831941-2265,https://www.magicbricks.com/search/bengaluru,₹ 3.61 Cr,4 BHK Apartment in Indiranagar,2200 sqft,Apartment,4 BHK,Ready to Move,"Indiranagar, Bengaluru",A beautiful 4 BHK property in Indiranagar with modern amenities.,5 of 29,5,Fully Furnished,https://images.property.com/img_613.jpg,https://images.property.com/img_337.jpg,https://images.property.com/img_326.jpg,https://images.property.com/img_315.jpg,https://images.property.com/img_72.jpg
436430-3969,https://www.housingcom.com/search/mumbai,₹ 4.58 Cr,3 BHK Apartment in Powai,1758 sqft,Apartment,3 BHK,Ready to Move,"Powai, Mumbai",A beautiful 3 BHK property in Powai with modern amenities.,8 of 18,2,Fully Furnished,https://images.property.com/img_886.jpg,https://images.property.com/img_390.jpg,https://images.property.com/img_364.jpg,https://images.property.com/img_948.jpg,https://images.property.com/img_465.jpg
618209-5104,https://www.99acres.com/search/bengaluru,₹ 1.56 Cr,3 BHK Apartment in Hebbal,1428 sqft,Apartment,3 BHK,Ready to Move,"Hebbal, Bengaluru",A beautiful 3 BHK property in Hebbal with modern amenities.,13 of 23,3,Unfurnished,https://images.property.com/img_216.jpg,https://images.property.com/img_509.jpg,https://images.property.com/img_401.jpg,https://images.property.com/img_853.jpg,https://images.property.com/img_824.jpg
662450-3558,https://www.99acres.com/search/mumbai,₹ 2.37 Cr,4 BHK Apartment in Thane West,2012 sqft,Apartment,4 BHK,Under Construction,"Thane West, Mumbai",A beautiful 4 BHK property in Thane West with modern amenities.,11 of 29,1,Unfurnished,https://images.property.com/img_254.jpg,https://images.property.com/img_101.jpg,https://images.property.com/img_466.jpg,https://images.property.com/img_707.jpg,https://images.property.com/img_333.jpg
900484-3403,https://www.99acres.com/search/mumbai,₹ 2.31 Cr,2 BHK Apartment in Powai,920 sqft,Apartment,2 BHK,Under Construction,"Powai, Mumbai",A beautiful 2 BHK property in Powai with modern amenities.,5 of 15,1,Unfurnished,https://images.property.com/img_854.jpg,https://images.property.com/img_207.jpg,https://images.property.com/img_16.jpg,https://images.property.com/img_727.jpg,https://images.property.com/img_241.jpg
554875-9145,https://www.nobroker.com/search/bengaluru,₹ 1.60 Cr,4 BHK Apartment in Whitefield,2024 sqft,Apartment,4 BHK,Ready to Move,"Whitefield, Bengaluru",A beautiful 4 BHK property in Whitefield with modern amenities.,8 of 24,4,Unfurnished,https://images.property.com/img_381.jpg,https://images.property.com/img_321.jpg,https://images.property.com/img_586.jpg,https://images.property.com/img_441.jpg,https://images.property.com/img_463.jpg
937296-7601,https://www.magicbricks.com/search/bengaluru,₹ 2.69 Cr,4 BHK Apartment in Koramangala,1904 sqft,Apartment,4 BHK,Ready to Move,"Koramangala, Bengaluru",A beautiful 4 BHK property in Koramangala with modern amenities.,5 of 23,2,Semi-Furnished,https://images.property.com/img_163.jpg,https://images.property.com/img_550.jpg,https://images.property.com/img_498.jpg,https://images.property.com/img_75.jpg,https://images.property.com/img_509.jpg
787549-9061,https://www.housingcom.com/search/mumbai,₹ 1.54 Cr,1 BHK Apartment in Powai,561 sqft,Apartment,1 BHK,Under Construction,"Powai, Mumbai",A beautiful 1 BHK property in Powai with modern amenities.,8 of 24,2,Unfurnished,https://images.property.com/img_199.jpg,https://images.property.com/img_255.jpg,https://images.property.com/img_490.jpg,https://images.property.com/img_447.jpg,https://images.property.com/img_256.jpg
383158-2123,https://www.magicbricks.com/search/mumbai,₹ 2.66 Cr,3 BHK Apartment in Borivali West,1500 sqft,Apartment,3 BHK,Ready to Move,"Borivali West, Mumbai",A beautiful 3 BHK property in Borivali West with modern amenities.,3 of 22,2,Fully Furnished,https://images.property.com/img_583.jpg,https://images.property.com/img_435.jpg,https://images.property.com/img_63.jpg,https://images.property.com/img_329.jpg,https://images.property.com/img_670.jpg
291613-1696,https://www.99acres.com/search/bengaluru,₹ 62.16 L,2 BHK Apartment in Electronic City,1046 sqft,Apartment,2 BHK,Under Construction,"Electronic City, Bengaluru",A beautiful 2 BHK property in Electronic City with modern amenities.,13 of 23,1,Fully Furnished,https://images.property.com/img_349.jpg,https://images.property.com/img_285.jpg,https://images.property.com/img_625.jpg,https://images.property.com/img_916.jpg,https://images.property.com/img_340.jpg
811646-9082,https://www.99acres.com/search/mumbai,₹ 2.90 Cr,2 BHK Apartment in Andheri East,1354 sqft,Apartment,2 BHK,Under Construction,"Andheri East, Mumbai",A beautiful 2 BHK property in Andheri East with modern amenities.,11 of 30,2,Fully Furnished,https://images.property.com/img_184.jpg,https://images.property.com/img_113.jpg,https://images.property.com/img_906.jpg,https://images.property.com/img_334.jpg,https://images.property.com/img_105.jpg
387357-2402,https://www.magicbricks.com/search/bengaluru,₹ 59.99 L,2 BHK Apartment in Electronic City,1046 sqft,Apartment,2 BHK,Under Construction,"Electronic City, Bengaluru",A beautiful 2 BHK property in Electronic City with modern amenities.,11 of 25,2,Unfurnished,https://images.property.com/img_456.jpg,https://images.property.com/img_849.jpg,https://images.property.com/img_613.jpg,https://images.property.com/img_572.jpg,https://images.property.com/img_831.jpg
475327-3635,https://www.nobroker.com/search/bengaluru,₹ 63.43 L,1 BHK Apartment in Hebbal,665 sqft,Apartment,1 BHK,Ready to Move,"Hebbal, Bengaluru",A beautiful 1 BHK property in Hebbal with modern amenities.,3 of 18,2,Unfurnished,https://images.property.com/img_622.jpg,https://images.property.com/img_712.jpg,https://images.property.com/img_183.jpg,https://images.property.com/img_523.jpg,https://images.property.com/img_936.jpg
641039-3358,https://www.nobroker.com/search/bengaluru,₹ 3.04 Cr,4 BHK Apartment in Koramangala,2448 sqft,Apartment,4 BHK,Under Construction,"Koramangala, Bengaluru",A beautiful 4 BHK property in Koramangala with modern amenities.,8 of 28,3,Fully Furnished,https://images.property.com/img_240.jpg,https://images.property.com/img_425.jpg,https://images.property.com/img_400.jpg,https://images.property.com/img_517.jpg,https://images.property.com/img_361.jpg
298017-7161,https://www.99acres.com/search/mumbai,₹ 4.88 Cr,2 BHK Apartment in Worli,944 sqft,Apartment,2 BHK,Ready to Move,"Worli, Mumbai",A beautiful 2 BHK property in Worli with modern amenities.,2 of 15,2,Unfurnished,https://images.property.com/img_548.jpg,https://images.property.com/img_262.jpg,https://images.property.com/img_852.jpg,https://images.property.com/img_18.jpg,https://images.property.com/img_535.jpg
996518-2176,https://www.housingcom.com/search/bengaluru,₹ 99.96 L,2 BHK Apartment in HSR Layout,1218 sqft,Apartment,2 BHK,Ready to Move,"HSR Layout, Bengaluru",A beautiful 2 BHK property in HSR Layout with modern amenities.,13 of 21,2,Fully Furnished,https://images.property.com/img_208.jpg,https://images.property.com/img_351.jpg,https://images.property.com/img_995.jpg,https://images.property.com/img_948.jpg,https://images.property.com/img_649.jpg
443487-5761,https://www.nobroker.com/search/mumbai,₹ 2.24 Cr,3 BHK Apartment in Thane West,1767 sqft,Apartment,3 BHK,Ready to Move,"Thane West, Mumbai",A beautiful 3 BHK property in Thane West with modern amenities.,5 of 16,1,Unfurnished,https://images.property.com/img_244.jpg,https://images.property.com/img_319.jpg,https://images.property.com/img_54.jpg,https://images.property.com/img_493.jpg,https://images.property.com/img_181.jpg
665980-1541,https://www.99acres.com/search/mumbai,₹ 2.43 Cr,1 BHK Apartment in Worli,525 sqft,Apartment,1 BHK,Under Construction,"Worli, Mumbai",A beautiful 1 BHK property in Worli with modern amenities.,10 of 16,2,Fully Furnished,https://images.property.com/img_464.jpg,https://images.property.com/img_990.jpg,https://images.property.com/img_534.jpg,https://images.property.com/img_229.jpg,https://images.property.com/img_696.jpg
759306-6543,https://www.99acres.com/search/mumbai,₹ 1.59 Cr,2 BHK Apartment in Thane West,1308 sqft,Apartment,2 BHK,Under Construction,"Thane West, Mumbai",A beautiful 2 BHK property in Thane West with modern amenities.,4 of 24,1,Semi-Furnished,https://images.property.com/img_955.jpg,https://images.property.com/img_171.jpg,https://images.property.com/img_858.jpg,https://images.property.com/img_127.jpg,https://images.property.com/img_669.jpg
277380-1458,https://www.magicbricks.com/search/mumbai,₹ 4.17 Cr,2 BHK Apartment in Bandra West,938 sqft,Apartment,2 BHK,Ready to Move,"Bandra West, Mumbai",A beautiful 2 BHK property in Bandra West with modern amenities.,8 of 16,3,Semi-Furnished,https://images.property.com/img_807.jpg,https://images.property.com/img_513.jpg,https://images.property.com/img_397.jpg,https://images.property.com/img_48.jpg,https://images.property.com/img_567.jpg
253244-2886,https://www.housingcom.com/search/mumbai,₹ 2.88 Cr,4 BHK Apartment in Thane West,2660 sqft,Apartment,4 BHK,Ready to Move,"Thane West, Mumbai",A beautiful 4 BHK property in Thane West with modern amenities.,15 of 17,2,Semi-Furnished,https://images.property.com/img_399.jpg,https://images.property.com/img_6.jpg,https://images.property.com/img_19.jpg,https://images.property.com/img_634.jpg,https://images.property.com/img_608.jpg
889657-4738,https://www.99acres.com/search/bengaluru,₹ 1.41 Cr,3 BHK Apartment in HSR Layout,1392 sqft,Apartment,3 BHK,Ready to Move,"HSR Layout, Bengaluru",A beautiful 3 BHK property in HSR Layout with modern amenities.,11 of 22,3,Semi-Furnished,https://images.property.com/img_221.jpg,https://images.property.com/img_79.jpg,https://images.property.com/img_593.jpg,https://images.property.com/img_419.jpg,https://images.property.com/img_695.jpg
515657-3674,https://www.magicbricks.com/search/mumbai,₹ 8.93 Cr,4 BHK Apartment in Worli,1896 sqft,Apartment,4 BHK,Ready to Move,"Worli, Mumbai",A beautiful 4 BHK property in Worli with modern amenities.,15 of 28,2,Semi-Furnished,https://images.property.com/img_300.jpg,https://images.property.com/img_639.jpg,https://images.property.com/img_153.jpg,https://images.property.com/img_785.jpg,https://images.property.com/img_963.jpg
485071-8842,https://www.housingcom.com/search/mumbai,₹ 6.10 Cr,3 BHK Apartment in Bandra West,1488 sqft,Apartment,3 BHK,Under Construction,"Bandra West, Mumbai",A beautiful 3 BHK property in Bandra West with modern amenities.,8 of 19,4,Unfurnished,https://images.property.com/img_324.jpg,https://images.property.com/img_886.jpg,https://images.property.com/img_86.jpg,https://images.property.com/img_399.jpg,https://images.property.com/img_739.jpg
816877-6920,https://www.housingcom.com/search/bengaluru,₹ 63.99 L,1 BHK Apartment in Koramangala,458 sqft,Apartment,1 BHK,Ready to Move,"Koramangala, Bengaluru",A beautiful 1 BHK property in Koramangala with modern amenities.,11 of 21,1,Semi-Furnished,https://images.property.com/img_687.jpg,https://images.property.com/img_213.jpg,https://images.property.com/img_672.jpg,https://images.property.com/img_542.jpg,https://images.property.com/img_184.jpg
657669-6625,https://www.housingcom.com/search/mumbai,₹ 3.94 Cr,4 BHK Apartment in Andheri East,2184 sqft,Apartment,4 BHK,Under Construction,"Andheri East, Mumbai",A beautiful 4 BHK property in Andheri East with modern amenities.,4 of 28,1,Semi-Furnished,https://images.property.com/img_40.jpg,https://images.property.com/img_358.jpg,https://images.property.com/img_768.jpg,https://images.property.com/img_201.jpg,https://images.property.com/img_427.jpg
380711-3012,https://www.nobroker.com/search/mumbai,₹ 1.44 Cr,1 BHK Apartment in Powai,583 sqft,Apartment,1 BHK,Ready to Move,"Powai, Mumbai",A beautiful 1 BHK property in Powai with modern amenities.,12 of 28,1,Fully Furnished,https://images.property.com/img_29.jpg,https://images.property.com/img_424.jpg,https://images.property.com/img_17.jpg,https://images.property.com/img_15.jpg,https://images.property.com/img_464.jpg
318095-8785,https://www.99acres.com/search/bengaluru,₹ 2.54 Cr,4 BHK Apartment in Koramangala,1916 sqft,Apartment,4 BHK,Under Construction,"Koramangala, Bengaluru",A beautiful 4 BHK property in Koramangala with modern amenities.,13 of 24,4,Unfurnished,https://images.property.com/img_793.jpg,https://images.property.com/img_824.jpg,https://images.property.com/img_566.jpg,https://images.property.com/img_187.jpg,https://images.property.com/img_53.jpg
821880-7542,https://www.magicbricks.com/search/bengaluru,₹ 95.65 L,2 BHK Apartment in HSR Layout,1010 sqft,Apartment,2 BHK,Under Construction,"HSR Layout, Bengaluru",A beautiful 2 BHK property in HSR Layout with modern amenities.,4 of 27,2,Unfurnished,https://images.property.com/img_764.jpg,https://images.property.com/img_565.jpg,https://images.property.com/img_982.jpg,https://images.property.com/img_388.jpg,https://images.property.com/img_884.jpg
834817-9843,https://www.magicbricks.com/search/bengaluru,₹ 2.43 Cr,3 BHK Apartment in Indiranagar,1698 sqft,Apartment,3 BHK,Ready to Move,"Indiranagar, Bengaluru",A beautiful 3 BHK property in Indiranagar with modern amenities.,8 of 28,3,Fully Furnished,https://images.property.com/img_227.jpg,https://images.property.com/img_825.jpg,https://images.property.com/img_897.jpg,https://images.property.com/img_731.jpg,https://images.property.com/img_841.jpg
126450-3477,https://www.magicbricks.com/search/bengaluru,₹ 1.23 Cr,2 BHK Apartment in Hebbal,1236 sqft,Apartment,2 BHK,Under Construction,"Hebbal, Bengaluru",A beautiful 2 BHK property in Hebbal with modern amenities.,12 of 26,1,Fully Furnished,https://images.property.com/img_143.jpg,https://images.property.com/img_795.jpg,https://images.property.com/img_501.jpg,https://images.property.com/img_505.jpg,https://images.property.com/img_169.jpg
309857-4860,https://www.housingcom.com/search/bengaluru,₹ 2.47 Cr,4 BHK Apartment in HSR Layout,2520 sqft,Apartment,4 BHK,Under Construction,"HSR Layout, Bengaluru",A beautiful 4 BHK property in HSR Layout with modern amenities.,4 of 17,5,Fully Furnished,https://images.property.com/img_267.jpg,https://images.property.com/img_71.jpg,https://images.property.com/img_866.jpg,https://images.property.com/img_272.jpg,https://images.property.com/img_603.jpg
613426-9444,https://www.nobroker.com/search/mumbai,₹ 5.10 Cr,2 BHK Apartment in Worli,1006 sqft,Apartment,2 BHK,Ready to Move,"Worli, Mumbai",A beautiful 2 BHK property in Worli with modern amenities.,12 of 25,2,Fully Furnished,https://images.property.com/img_265.jpg,https://images.property.com/img_389.jpg,https://images.property.com/img_46.jpg,https://images.property.com/img_544.jpg,https://images.property.com/img_643.jpg
465521-6870,https://www.housingcom.com/search/bengaluru,₹ 2.64 Cr,4 BHK Apartment in Hebbal,2440 sqft,Apartment,4 BHK,Ready to Move,"Hebbal, Bengaluru",A beautiful 4 BHK property in Hebbal with modern amenities.,3 of 23,1,Fully Furnished,https://images.property.com/img_561.jpg,https://images.property.com/img_855.jpg,https://images.property.com/img_195.jpg,https://images.property.com/img_757.jpg,https://images.property.com/img_801.jpg
626929-5053,https://www.magicbricks.com/search/mumbai,₹ 2.24 Cr,1 BHK Apartment in Bandra West,482 sqft,Apartment,1 BHK,Under Construction,"Bandra West, Mumbai",A beautiful 1 BHK property in Bandra West with modern amenities.,9 of 19,2,Fully Furnished,https://images.property.com/img_481.jpg,https://images.property.com/img_794.jpg,https://images.property.com/img_624.jpg,https://images.property.com/img_350.jpg,https://images.property.com/img_539.jpg
862690-5008,https://www.housingcom.com/search/mumbai,₹ 4.83 Cr,2 BHK Apartment in Bandra West,998 sqft,Apartment,2 BHK,Ready to Move,"Bandra West, Mumbai",A beautiful 2 BHK property in Bandra West with modern amenities.,3 of 19,3,Semi-Furnished,https://images.property.com/img_173.jpg,https://images.property.com/img_508.jpg,https://images.property.com/img_571.jpg,https://images.property.com/img_247.jpg,https://images.property.com/img_671.jpg
469562-7445,https://www.magicbricks.com/search/bengaluru,₹ 2.02 Cr,4 BHK Apartment in Hebbal,2052 sqft,Apartment,4 BHK,Ready to Move,"Hebbal, Bengaluru",A beautiful 4 BHK property in Hebbal with modern amenities.,12 of 16,1,Fully Furnished,https://images.property.com/img_790.jpg,https://images.property.com/img_614.jpg,https://images.property.com/img_976.jpg,https://images.property.com/img_353.jpg,https://images.property.com/img_592.jpg
833439-6393,https://www.housingcom.com/search/bengaluru,₹ 46.09 L,1 BHK Apartment in Whitefield,561 sqft,Apartment,1 BHK,Ready to Move,"Whitefield, Bengaluru",A beautiful 1 BHK property in Whitefield with modern amenities.,15 of 21,2,Unfurnished,https://images.property.com/img_73.jpg,https://images.property.com/img_532.jpg,https://images.property.com/img_633.jpg,https://images.property.com/img_56.jpg,https://images.property.com/img_10.jpg
737486-8766,https://www.housingcom.com/search/bengaluru,₹ 27.77 L,1 BHK Apartment in Electronic City,535 sqft,Apartment,1 BHK,Ready to Move,"Electronic City, Bengaluru",A beautiful 1 BHK property in Electronic City with modern amenities.,3 of 28,1,Fully Furnished,https://images.property.com/img_160.jpg,https://images.property.com/img_498.jpg,https://images.property.com/img_989.jpg,https://images.property.com/img_891.jpg,https://images.property.com/img_115.jpg
683731-6795,https://www.magicbricks.com/search/mumbai,₹ 2.18 Cr,1 BHK Apartment in Bandra West,496 sqft,Apartment,1 BHK,Ready to Move,"Bandra West, Mumbai",A beautiful 1 BHK property in Bandra West with modern amenities.,13 of 17,1,Unfurnished,https://images.property.com/img_469.jpg,https://images.property.com/img_172.jpg,https://images.property.com/img_120.jpg,https://images.property.com/img_715.jpg,https://images.property.com/img_864.jpg
853431-9014,https://www.nobroker.com/search/bengaluru,₹ 1.40 Cr,4 BHK Apartment in Electronic City,2472 sqft,Apartment,4 BHK,Under Construction,"Electronic City, Bengaluru",A beautiful 4 BHK property in Electronic City with modern amenities.,2 of 24,1,Semi-Furnished,https://images.property.com/img_236.jpg,https://images.property.com/img_735.jpg,https://images.property.com/img_540.jpg,https://images.property.com/img_408.jpg,https://images.property.com/img_519.jpg
752650-7467,https://www.99acres.com/search/mumbai,₹ 2.59 Cr,2 BHK Apartment in Powai,1084 sqft,Apartment,2 BHK,Under Construction,"Powai, Mumbai",A beautiful 2 BHK property in Powai with modern amenities.,15 of 29,1,Semi-Furnished,https://images.property.com/img_319.jpg,https://images.property.com/img_919.jpg,https://images.property.com/img_981.jpg,https://images.property.com/img_84.jpg,https://images.property.com/img_573.jpg
475496-5113,https://www.magicbricks.com/search/mumbai,₹ 6.22 Cr,4 BHK Apartment in Powai,2560 sqft,Apartment,4 BHK,Under Construction,"Powai, Mumbai",A beautiful 4 BHK property in Powai with modern amenities.,4 of 22,3,Semi-Furnished,https://images.property.com/img_908.jpg,https://images.property.com/img_410.jpg,https://images.property.com/img_776.jpg,https://images.property.com/img_903.jpg,https://images.property.com/img_818.jpg
155843-5474,https://www.nobroker.com/search/mumbai,₹ 2.48 Cr,1 BHK Apartment in Bandra West,572 sqft,Apartment,1 BHK,Ready to Move,"Bandra West, Mumbai",A beautiful 1 BHK property in Bandra West with modern amenities.,14 of 30,2,Semi-Furnished,https://images.property.com/img_986.jpg,https://images.property.com/img_141.jpg,https://images.property.com/img_413.jpg,https://images.property.com/img_281.jpg,https://images.property.com/img_171.jpg
261327-1731,https://www.99acres.com/search/bengaluru,₹ 1.41 Cr,2 BHK Apartment in Indiranagar,1012 sqft,Apartment,2 BHK,Under Construction,"Indiranagar, Bengaluru",A beautiful 2 BHK property in Indiranagar with modern amenities.,4 of 29,2,Unfurnished,https://images.property.com/img_179.jpg,https://images.property.com/img_633.jpg,https://images.property.com/img_862.jpg,https://images.property.com/img_887.jpg,https://images.property.com/img_500.jpg
194308-8595,https://www.magicbricks.com/search/mumbai,₹ 1.48 Cr,1 BHK Apartment in Andheri East,689 sqft,Apartment,1 BHK,Under Construction,"Andheri East, Mumbai",A beautiful 1 BHK property in Andheri East with modern amenities.,15 of 15,1,Unfurnished,https://images.property.com/img_204.jpg,https://images.property.com/img_185.jpg,https://images.property.com/img_630.jpg,https://images.property.com/img_86.jpg,https://images.property.com/img_640.jpg
600591-2525,https://www.housingcom.com/search/mumbai,₹ 2.69 Cr,3 BHK Apartment in Borivali West,1485 sqft,Apartment,3 BHK,Ready to Move,"Borivali West, Mumbai",A beautiful 3 BHK property in Borivali West with modern amenities.,2 of 24,4,Fully Furnished,https://images.property.com/img_565.jpg,https://images.property.com/img_80.jpg,https://images.property.com/img_612.jpg,https://images.property.com/img_817.jpg,https://images.property.com/img_184.jpg
748254-2385,https://www.magicbricks.com/search/bengaluru,₹ 67.47 L,1 BHK Apartment in HSR Layout,683 sqft,Apartment,1 BHK,Ready to Move,"HSR Layout, Bengaluru",A beautiful 1 BHK property in HSR Layout with modern amenities.,8 of 18,1,Semi-Furnished,https://images.property.com/img_280.jpg,https://images.property.com/img_214.jpg,https://images.property.com/img_601.jpg,https://images.property.com/img_519.jpg,https://images.property.com/img_168.jpg
242433-7134,https://www.magicbricks.com/search/bengaluru,₹ 26.35 L,1 BHK Apartment in Electronic City,494 sqft,Apartment,1 BHK,Ready to Move,"Electronic City, Bengaluru",A beautiful 1 BHK property in Electronic City with modern amenities.,8 of 27,1,Fully Furnished,https://images.property.com/img_283.jpg,https://images.property.com/img_879.jpg,https://images.property.com/img_249.jpg,https://images.property.com/img_387.jpg,https://images.property.com/img_142.jpg
900460-7285,https://www.housingcom.com/search/mumbai,₹ 3.94 Cr,3 BHK Apartment in Andheri East,2058 sqft,Apartment,3 BHK,Ready to Move,"Andheri East, Mumbai",A beautiful 3 BHK property in Andheri East with modern amenities.,15 of 29,4,Fully Furnished,https://images.property.com/img_55.jpg,https://images.property.com/img_816.jpg,https://images.property.com/img_577.jpg,https://images.property.com/img_189.jpg,https://images.property.com/img_349.jpg
294652-2399,https://www.nobroker.com/search/mumbai,₹ 3.68 Cr,4 BHK Apartment in Borivali West,2192 sqft,Apartment,4 BHK,Under Construction,"Borivali West, Mumbai",A beautiful 4 BHK property in Borivali West with modern amenities.,7 of 26,2,Fully Furnished,https://images.property.com/img_846.jpg,https://images.property.com/img_988.jpg,https://images.property.com/img_903.jpg,https://images.property.com/img_448.jpg,https://images.property.com/img_157.jpg
543385-3570,https://www.nobroker.com/search/mumbai,₹ 7.33 Cr,3 BHK Apartment in Bandra West,1707 sqft,Apartment,3 BHK,Ready to Move,"Bandra West, Mumbai",A beautiful 3 BHK property in Bandra West with modern amenities.,8 of 24,4,Unfurnished,https://images.property.com/img_817.jpg,https://images.property.com/img_199.jpg,https://images.property.com/img_394.jpg,https://images.property.com/img_10.jpg,https://images.property.com/img_591.jpg
